wdid,spectype,teff,Dteff,logg,Dlogg
Gaia DR3 2234090014256721792,DA,11692.0,671.0,7.297,0.087
Gaia DR3 2234090946269021184,DA,13998.0,540.0,7.874,0.047
Gaia DR3 2234164098152035840,DA,7847.0,139.0,7.147,0.04
Gaia DR3 2234189936675890432,DA,4942.0,179.0,7.832,0.113
Gaia DR3 2234223987175965440,DB,21510.0,1258.0,8.032,0.038
Gaia DR3 2234272017792638976,DA,8063.0,355.0,8.063,0.089
Gaia DR3 223428047030260608,DA,12232.0,552.0,8.458,0.053
Gaia DR3 2234385714165457792,DA,6897.0,258.0,8.312,0.071
Gaia DR3 2234432447708943104,DA,35378.0,2759.0,7.71,0.073
Gaia DR3 2234510027701503872,DA,8622.0,316.0,8.428,0.062
Gaia DR3 223454985064473216,DA,7670.0,367.0,8.393,0.092
Gaia DR3 2234611354566753024,DQ,9145.0,194.0,8.449,0.048
Gaia DR3 2234640629071743616,DA,24128.0,1734.0,8.151,0.084
Gaia DR3 2234739692489894016,DB,15013.0,968.0,7.844,0.093
Gaia DR3 2234765771531371392,DB,25322.0,3288.0,8.295,0.047
Gaia DR3 2234772231160785792,DB,13761.0,985.0,7.84,0.123
Gaia DR3 2234880837996832640,DA,27477.0,2415.0,8.013,0.12
Gaia DR3 2234901458135093760,DZ:,9943.0,675.0,8.246,0.091
Gaia DR3 2234972406699153280,DA,6744.0,170.0,8.035,0.052
Gaia DR3 2235077792315270272,DB,12491.0,747.0,8.166,0.088
Gaia DR3 2235098236358616320,DB,14617.0,965.0,8.692,0.07
Gaia DR3 2235127545215533824,DA,25015.0,535.0,8.378,0.02
Gaia DR3 2235140911153705472,DA,15168.0,807.0,7.84,0.058
Gaia DR3 2235187331158499200,DB:,11442.0,664.0,8.116,0.092
Gaia DR3 2235217013676067712,DA,9764.0,211.0,6.868,0.055
Gaia DR3 2235291024552052096,DA,,,,
Gaia DR3 2235380943987554560,DA,8390.0,323.0,8.254,0.067
Gaia DR3 2235432311795872768,DA,7821.0,280.0,8.1,0.071
Gaia DR3 2235434820056756352,DA,14188.0,295.0,8.064,0.021
Gaia DR3 2235451896847883264,DA,10469.0,441.0,7.995,0.079
Gaia DR3 2235455951297068416,DB,11238.0,437.0,7.877,0.062
Gaia DR3 2235471103941747200,DA,12237.0,721.0,7.811,0.073
Gaia DR3 2235500004779352192,DA,12436.0,1241.0,8.104,0.109
Gaia DR3 2235721483355236608,DA:,17764.0,1744.0,8.05,0.125
Gaia DR3 2235735364690042880,DA:,6711.0,284.0,8.473,0.08
Gaia DR3 2235756324128323712,DA,10849.0,173.0,7.994,0.023
Gaia DR3 2235836902013340288,DA,14424.0,767.0,7.451,0.065
Gaia DR3 2235857032523315200,DA:,10483.0,564.0,8.457,0.084
Gaia DR3 2235882767966292736,DA,10237.0,315.0,8.676,0.043
Gaia DR3 2235971381731066240,DA,30117.0,1956.0,7.893,0.081
Gaia DR3 2236074529668184960,DA:,7955.0,368.0,7.802,0.107
Gaia DR3 2236131326314999168,DA,19583.0,1134.0,7.776,0.064
Gaia DR3 2236133770152115456,DA:,11414.0,386.0,7.952,0.048
Gaia DR3 2236205783867981952,DA,6987.0,202.0,8.284,0.053
Gaia DR3 2236234856504317952,DB,12755.0,536.0,6.869,0.114
Gaia DR3 2236295290985748352,DA,11876.0,777.0,7.791,0.109
Gaia DR3 2236344773307231360,DA,16441.0,936.0,7.248,0.066
Gaia DR3 2236347384643727488,DA:,7688.0,372.0,8.362,0.089
Gaia DR3 2236388238375665920,DA,14274.0,1015.0,7.814,0.105
Gaia DR3 2236434069969089792,DA,10384.0,294.0,7.514,0.059
Gaia DR3 2236479493542448256,DA,38001.0,2584.0,7.845,0.05
Gaia DR3 223665305319907072,DA,7637.0,110.0,7.524,0.033
Gaia DR3 2236673969662498048,DA:,8267.0,437.0,8.065,0.11
Gaia DR3 2236762622085120896,DA,11549.0,698.0,8.099,0.091
Gaia DR3 2236766775314577664,DA,24415.0,1093.0,8.066,0.049
Gaia DR3 2236801856608215168,DA,28432.0,948.0,8.124,0.039
Gaia DR3 2236843947288030976,DA,11878.0,371.0,8.425,0.034
Gaia DR3 2236845081159994624,DA,15720.0,1009.0,7.796,0.08
Gaia DR3 2236903905030179328,DA,9642.0,502.0,7.824,0.126
Gaia DR3 2236928747122057216,DA,14077.0,974.0,8.043,0.093
Gaia DR3 2236970219325949440,DA,10225.0,735.0,8.231,0.152
Gaia DR3 2236977675390821632,DA,13608.0,465.0,7.928,0.039
Gaia DR3 2237000116597659904,DA:,7360.0,302.0,8.129,0.079
Gaia DR3 2237107658280442752,DA,17082.0,1244.0,8.213,0.079
Gaia DR3 2237113636879739136,DA,24989.0,1665.0,8.385,0.082
Gaia DR3 2237230498642416256,DA,8588.0,326.0,7.712,0.09
Gaia DR3 2237243894642618624,DB,17903.0,2145.0,7.835,0.158
Gaia DR3 2237279907946560512,DA,7806.0,407.0,8.395,0.098
Gaia DR3 2237281999593272320,DA,6996.0,185.0,7.958,0.055
Gaia DR3 2237288944557097600,DA,23921.0,1002.0,6.392,0.102
Gaia DR3 223738178028369152,DA,7029.0,301.0,7.899,0.111
Gaia DR3 2237397139076907520,DA:,10327.0,496.0,8.303,0.084
Gaia DR3 2237629823222881536,DA,15738.0,712.0,8.151,0.046
Gaia DR3 2237746371457158784,DA,10729.0,389.0,7.999,0.066
Gaia DR3 2237775341015221376,DA,12095.0,670.0,7.427,0.094
Gaia DR3 2237787671861843840,DB,10418.0,431.0,8.18,0.066
Gaia DR3 2237849901646356480,DA,4928.0,181.0,7.939,0.107
Gaia DR3 2237853917436921472,DA,10218.0,242.0,8.033,0.042
Gaia DR3 2237871818860213248,DA,28091.0,2059.0,7.912,0.106
Gaia DR3 2237933082274982400,DC:,10065.0,671.0,7.88,0.13
Gaia DR3 2237952358088524928,DA,24291.0,2171.0,8.116,0.13
Gaia DR3 2238002042270734976,DB,14675.0,499.0,8.055,0.044
Gaia DR3 2238037879476398592,DA,18851.0,1492.0,7.878,0.093
Gaia DR3 2238103369136862080,DA,,,,
Gaia DR3 2238124259859506688,DA,9606.0,269.0,8.024,0.052
Gaia DR3 2238230259650954368,DA,10786.0,357.0,7.882,0.059
Gaia DR3 2238276061182707200,DA,11292.0,684.0,8.022,0.101
Gaia DR3 2238282971789204224,DA,8159.0,290.0,7.244,0.1
Gaia DR3 2238284170082474240,DA,6468.0,265.0,8.388,0.085
Gaia DR3 2238290560993379968,DC,7343.0,249.0,8.231,0.055
Gaia DR3 2238329804111302912,DA,16658.0,791.0,7.96,0.049
Gaia DR3 2238430920522624128,DA,23743.0,683.0,7.275,0.033
Gaia DR3 2238517747583101952,DA,17962.0,953.0,8.025,0.058
Gaia DR3 2238557879757744128,DA,21901.0,1338.0,7.969,0.063
Gaia DR3 2238604677720386688,DA,59739.0,11874.0,7.944,2.105
Gaia DR3 223861254611243008,DC,9848.0,517.0,7.826,0.118
Gaia DR3 2238703152731522560,DA:,12238.0,686.0,7.476,0.09
Gaia DR3 2238809393041841024,DB,14230.0,516.0,7.306,0.056
Gaia DR3 2238847016956071040,DZ:,10178.0,606.0,7.429,0.116
Gaia DR3 2238856672042310784,DA,14092.0,831.0,8.177,0.063
Gaia DR3 2238863681427581184,DA,8466.0,449.0,7.789,0.125
Gaia DR3 2239070423973170944,DC,9684.0,441.0,8.114,0.081
Gaia DR3 2239078429792431488,DA,10801.0,340.0,7.938,0.052
Gaia DR3 2239083789913074816,DA,13213.0,468.0,7.998,0.035
Gaia DR3 2239099423592559872,DA,24945.0,1834.0,7.454,0.107
Gaia DR3 2239128698091416064,DC,7555.0,239.0,7.993,0.057
Gaia DR3 2239287302642036992,DB,16398.0,1537.0,8.36,0.111
Gaia DR3 2239338807890621056,DA,11602.0,595.0,8.07,0.077
Gaia DR3 2239368048028081920,DA,11338.0,588.0,7.455,0.095
Gaia DR3 2239547852539467648,DA,19079.0,1932.0,7.825,0.138
Gaia DR3 2239575374688897152,DC:,5368.0,324.0,7.836,0.079
Gaia DR3 2239610284183400576,DA,13506.0,465.0,7.963,0.036
Gaia DR3 2239653852331901824,DZ:,9849.0,425.0,7.887,0.068
Gaia DR3 2239659521688967296,DB,20224.0,1396.0,7.787,0.063
Gaia DR3 2239693778347157504,DB:,11436.0,677.0,7.89,0.108
Gaia DR3 2239730302749954944,DA,11484.0,801.0,8.106,0.107
Gaia DR3 2239798575548906112,DA,16254.0,580.0,8.088,0.035
Gaia DR3 2239990272826423296,DA,23162.0,623.0,7.993,0.027
Gaia DR3 2240011262330390784,DC,9406.0,339.0,7.986,0.065
Gaia DR3 2240079363332047616,DA,7971.0,290.0,8.31,0.065
Gaia DR3 2240534943398854144,DA:,10265.0,614.0,8.267,0.111
Gaia DR3 2240544903425900416,DA,6483.0,266.0,7.973,0.098
Gaia DR3 2240566069025069184,DC:,10470.0,737.0,7.884,0.14
Gaia DR3 2240707356270311680,DA,6956.0,235.0,8.244,0.062
Gaia DR3 224072498281942528,DA,8941.0,414.0,8.012,0.111
Gaia DR3 2240743227836042624,DA,19776.0,1387.0,8.069,0.081
Gaia DR3 2240820365454704000,DA,,,,
Gaia DR3 2240990106854301952,DB:,11643.0,627.0,7.832,0.103
Gaia DR3 2240991137647540096,DA,8367.0,133.0,7.948,0.029
Gaia DR3 2241020820163644544,DA:,20369.0,1704.0,7.979,0.101
Gaia DR3 2241041165426587136,DA,6313.0,311.0,8.287,0.109
Gaia DR3 2241048170513677952,DA,16721.0,773.0,8.033,0.047
Gaia DR3 2241064079072918784,DA,18574.0,1176.0,8.086,0.066
Gaia DR3 2241223989297010048,DA,16230.0,888.0,8.075,0.057
Gaia DR3 2241395959785461632,DA,8131.0,509.0,8.166,0.136
Gaia DR3 2241400220393509760,DA,17114.0,1484.0,7.402,0.125
Gaia DR3 2241451725642016512,DA,6270.0,203.0,7.982,0.071
Gaia DR3 2241479453950003968,DA,17267.0,1243.0,7.854,0.097
Gaia DR3 2241499863635574400,DA,9978.0,324.0,7.739,0.076
Gaia DR3 2241527591943800448,DA,14309.0,823.0,7.784,0.084
Gaia DR3 2241555835648825728,DB,13612.0,1034.0,8.08,0.118
Gaia DR3 2241571061308361472,DA,28521.0,1563.0,8.296,0.064
Gaia DR3 224158947385084544,DA,10528.0,580.0,8.165,0.111
Gaia DR3 2241599987912254848,DA,10126.0,441.0,8.153,0.082
Gaia DR3 2241638715635940736,DA,13590.0,356.0,7.984,0.027
Gaia DR3 2241753167925181824,DA,7637.0,375.0,7.965,0.1
Gaia DR3 2241941729870600064,DZ:,9396.0,351.0,8.018,0.058
Gaia DR3 2242034947840069248,DA,9759.0,553.0,7.976,0.144
Gaia DR3 2242084288425728768,DA,12941.0,589.0,7.472,0.076
Gaia DR3 2242214722289717120,DA,17678.0,579.0,8.034,0.033
Gaia DR3 2242399405883372032,DA,12911.0,861.0,7.927,0.097
Gaia DR3 2242404967862466048,DA,13463.0,664.0,8.029,0.061
Gaia DR3 2242478914318245376,DA,7482.0,286.0,7.991,0.081
Gaia DR3 2242491520044886144,DA,19075.0,468.0,7.936,0.024
Gaia DR3 2242519557589841280,DB,14200.0,701.0,8.239,0.064
Gaia DR3 2242570070704095744,DA,9077.0,465.0,7.742,0.13
Gaia DR3 2242600646572752256,DA,11404.0,560.0,7.914,0.087
Gaia DR3 2242608308794451712,DA,6193.0,203.0,7.991,0.081
Gaia DR3 2242612470621162368,DA,27574.0,1730.0,8.155,0.079
Gaia DR3 2242638476644865920,DC:,7235.0,224.0,8.148,0.051
Gaia DR3 2242741938116584320,DA,9180.0,463.0,8.079,0.101
Gaia DR3 2242752963292727808,DA,9644.0,484.0,7.78,0.14
Gaia DR3 2242760183136945152,DA,24757.0,1635.0,8.82,0.065
Gaia DR3 2242807457838993024,DA:,8505.0,366.0,7.994,0.089
Gaia DR3 2242844119680258560,DA,24734.0,1022.0,7.973,0.049
Gaia DR3 2242918886471452544,DA,8843.0,595.0,8.154,0.143
Gaia DR3 2242956544742989312,DA,19065.0,1484.0,8.17,0.08
Gaia DR3 2243010317734080640,DA,19668.0,900.0,7.809,0.049
Gaia DR3 2243102371771659136,DA,10322.0,164.0,7.962,0.026
Gaia DR3 224315563369576832,DA,10449.0,373.0,8.543,0.055
Gaia DR3 2243168372529353472,DC,8670.0,443.0,7.992,0.099
Gaia DR3 2243214109641447168,DA:,28638.0,987.0,6.949,0.061
Gaia DR3 2243222729640300800,DA,19760.0,1844.0,8.139,0.117
Gaia DR3 2243235137800416768,DQ:,,,,
Gaia DR3 224324217726748032,DA,15123.0,1074.0,8.311,0.097
Gaia DR3 2243263896902079360,DA,10154.0,217.0,8.198,0.035
Gaia DR3 2243313164466911488,DA,9794.0,357.0,7.866,0.08
Gaia DR3 2243329004307781504,DA,10026.0,265.0,7.267,0.063
Gaia DR3 224334078971831296,DA,11728.0,389.0,7.654,0.059
Gaia DR3 2243345668779608448,DA,15378.0,1058.0,8.039,0.083
Gaia DR3 2243514684332410624,DA,7661.0,304.0,7.908,0.086
Gaia DR3 2243518292104939904,DA,19219.0,980.0,7.899,0.055
Gaia DR3 2243519464634761472,DA,7127.0,278.0,7.912,0.093
Gaia DR3 2243522041611748608,DA,11568.0,675.0,8.088,0.08
Gaia DR3 2243534509903159168,DA,18477.0,788.0,7.963,0.044
Gaia DR3 2243534926517407488,DA,19768.0,363.0,7.959,0.018
Gaia DR3 2243555778580060672,DA,12572.0,852.0,8.275,0.07
Gaia DR3 224356447160341248,DA,4904.0,172.0,7.734,0.121
Gaia DR3 2243571790217897600,DC:,13089.0,803.0,7.666,0.125
Gaia DR3 2243606940231342336,DC:,12235.0,731.0,7.649,0.123
Gaia DR3 2243611239496550912,DA,,,,
Gaia DR3 2243619069219494784,DA,6302.0,130.0,8.042,0.045
Gaia DR3 2243690400035745536,DA,12758.0,1079.0,7.949,0.119
Gaia DR3 224372772335073152,DA,17978.0,657.0,8.037,0.04
Gaia DR3 2243831073099182592,DA,8087.0,230.0,8.256,0.047
Gaia DR3 224385137541064832,DA,9068.0,261.0,7.996,0.063
Gaia DR3 2243932434330587904,DA,12192.0,1005.0,8.405,0.109
Gaia DR3 2243933907500430976,DA,15638.0,1324.0,7.946,0.123
Gaia DR3 2243997610456858752,DA,20369.0,1432.0,8.065,0.075
Gaia DR3 2244081143278952192,DA,16177.0,1319.0,7.941,0.117
Gaia DR3 2244126085813646336,DA,4884.0,214.0,7.784,0.141
Gaia DR3 2244218341709431936,DA,15644.0,722.0,7.916,0.053
Gaia DR3 2244229233750606208,DA:,29531.0,727.0,8.75,0.023
Gaia DR3 2244238162983682048,DA,21214.0,1484.0,8.333,0.073
Gaia DR3 2244366668405955200,DA,13606.0,814.0,7.908,0.093
Gaia DR3 2244640309361389952,DA,10214.0,307.0,8.148,0.051
Gaia DR3 2244696697990936576,DA,6436.0,111.0,7.139,0.042
Gaia DR3 2244815788844034816,DC,7858.0,214.0,8.088,0.047
Gaia DR3 2244819220520934528,DA,10207.0,259.0,7.218,0.059
Gaia DR3 2244873371467654912,DA,15161.0,798.0,8.364,0.055
Gaia DR3 2244879487501323008,DA,16156.0,1272.0,8.237,0.088
Gaia DR3 2244899764045061376,DA,6950.0,228.0,8.342,0.057
Gaia DR3 2244981471502902272,DA:,4916.0,149.0,7.801,0.087
Gaia DR3 2245000747315345664,DA,25612.0,553.0,8.184,0.023
Gaia DR3 2245004316430402816,DA,16014.0,769.0,8.062,0.048
Gaia DR3 2245037129979770624,DB,13006.0,1082.0,8.219,0.134
Gaia DR3 2245061250516186624,DA,,,,
Gaia DR3 2245081728921490304,DA,8295.0,242.0,7.758,0.094
Gaia DR3 2245118528200614656,DA,8673.0,155.0,7.436,0.04
Gaia DR3 2245141686664497024,DC,9771.0,371.0,7.939,0.07
Gaia DR3 224517285095518464,DA,12749.0,667.0,7.664,0.099
Gaia DR3 2245189240541534592,DA,9715.0,513.0,7.884,0.121
Gaia DR3 2245302215361590400,DA,5567.0,146.0,6.666,0.358
Gaia DR3 2245373035081275008,DA:,7531.0,276.0,8.349,0.064
Gaia DR3 2245434706512383872,DA:,5804.0,117.0,7.467,0.056
Gaia DR3 2245526794909646976,DA,23882.0,677.0,7.898,0.031
Gaia DR3 2245535174388204032,DA,17429.0,860.0,7.512,0.057
Gaia DR3 2245554037884422912,DA,12133.0,640.0,7.946,0.065
Gaia DR3 2245659900238874752,DA,9179.0,548.0,8.044,0.126
Gaia DR3 224569752416336512,DA,15913.0,960.0,8.444,0.074
Gaia DR3 2245747178271721472,DA,13429.0,583.0,7.761,0.056
Gaia DR3 224579476228673920,DA,7245.0,341.0,8.16,0.11
Gaia DR3 224589479204500992,DA,15683.0,901.0,7.841,0.082
Gaia DR3 2245901449198917760,DA,11672.0,750.0,8.601,0.077
Gaia DR3 2245916017728213504,DC,11407.0,619.0,7.317,0.102
Gaia DR3 2245930448818247808,DC:,7859.0,265.0,7.821,0.066
Gaia DR3 2245933953511253632,DA,10523.0,413.0,7.961,0.073
Gaia DR3 2246079638802914560,DB,15523.0,1111.0,7.725,0.112
Gaia DR3 2246080772674336896,DA,11165.0,265.0,7.353,0.036
Gaia DR3 2246092802879415808,DA,14701.0,1117.0,8.124,0.101
Gaia DR3 2246117778111484288,DC,9810.0,596.0,8.048,0.114
Gaia DR3 2246194297249788800,DA,8855.0,208.0,8.068,0.042
Gaia DR3 224626823941443840,DA,18003.0,1021.0,7.799,0.073
Gaia DR3 2246283976166275840,DA,12066.0,623.0,7.737,0.068
Gaia DR3 2246368535481901568,DA,14633.0,864.0,7.295,0.105
Gaia DR3 2246435472549879168,DA,18015.0,308.0,8.023,0.016
Gaia DR3 2246467491529554432,DA,14981.0,1179.0,7.829,0.129
Gaia DR3 2246574453394292480,DA,11744.0,857.0,7.73,0.121
Gaia DR3 2246574801288867200,DA,5900.0,201.0,7.991,0.081
Gaia DR3 2246656092133538048,DA,12455.0,727.0,8.008,0.057
Gaia DR3 2246715951093907840,DC:,7990.0,409.0,7.58,0.122
Gaia DR3 2246728144503727488,DC,9831.0,303.0,8.016,0.052
Gaia DR3 2246770029025426176,DC:,9387.0,274.0,7.386,0.057
Gaia DR3 2246820194242979328,DA,12443.0,988.0,8.089,0.085
Gaia DR3 2246854828860180736,DA,9122.0,526.0,7.905,0.135
Gaia DR3 2246998830523684736,DA,10244.0,371.0,8.535,0.055
Gaia DR3 2247067034604768000,DA,17381.0,1018.0,7.972,0.062
Gaia DR3 2247133314539380736,DC:,8301.0,384.0,8.19,0.082
Gaia DR3 2247154102180622080,DA,14090.0,558.0,8.313,0.037
Gaia DR3 2247174614944524672,DA,15150.0,749.0,8.106,0.05
Gaia DR3 2247203992521725568,DA,7372.0,161.0,7.949,0.043
Gaia DR3 2247254226457694592,DA,25590.0,1201.0,8.382,0.05
Gaia DR3 2247283122997785088,DA,12569.0,831.0,7.824,0.092
Gaia DR3 2247317860693566848,DA,7454.0,362.0,8.219,0.102
Gaia DR3 2247366896339425536,DA,9016.0,306.0,7.949,0.069
Gaia DR3 2247416610582258304,DB,11765.0,733.0,8.027,0.116
Gaia DR3 2247475056497750528,DA,10266.0,624.0,8.69,0.093
Gaia DR3 2247492786121969792,DA,12225.0,983.0,7.968,0.113
Gaia DR3 2247496531333509376,DA,13601.0,896.0,8.852,0.048
Gaia DR3 2247514982512781056,DC,8609.0,294.0,8.355,0.055
Gaia DR3 2247638200833336576,DC:,6956.0,254.0,8.235,0.058
Gaia DR3 224768768318812416,DA,11172.0,266.0,7.986,0.037
Gaia DR3 2247750557176967424,DA,13810.0,952.0,8.258,0.077
Gaia DR3 2247750557176967552,DA,14403.0,805.0,7.986,0.072
Gaia DR3 2247752584401597696,DA,17958.0,251.0,7.908,0.013
Gaia DR3 2247808895714922880,DA,9910.0,375.0,7.757,0.092
Gaia DR3 2247882803511631872,DA,8675.0,405.0,7.531,0.137
Gaia DR3 2247946403387617536,DA,8984.0,392.0,7.845,0.098
Gaia DR3 2247958532375278592,DA,7334.0,339.0,8.241,0.093
Gaia DR3 2247984645776619008,DB,13356.0,656.0,7.815,0.088
Gaia DR3 2248006464209864704,DA,9794.0,623.0,7.951,0.15
Gaia DR3 2248041476783674368,DA,8294.0,277.0,8.151,0.061
Gaia DR3 2248195992527156864,DA,15616.0,1079.0,8.461,0.072
Gaia DR3 2248255812832111872,DA,6475.0,241.0,8.341,0.073
Gaia DR3 2248298659425287424,DA,7356.0,391.0,8.004,0.122
Gaia DR3 2248415997931362688,DA,14652.0,915.0,7.864,0.075
Gaia DR3 2248454377760634880,DA,6373.0,196.0,8.449,0.057
Gaia DR3 2248471145311860992,DA,14099.0,825.0,8.212,0.065
Gaia DR3 2248572162942952064,DA,8520.0,233.0,7.85,0.058
Gaia DR3 2248577286842001536,DA,15379.0,1312.0,7.716,0.128
Gaia DR3 2248651808817175936,DA,9431.0,421.0,7.9,0.107
Gaia DR3 2248662116737590016,DA,16458.0,1452.0,7.778,0.133
Gaia DR3 2248691837911458688,DA,15318.0,703.0,8.128,0.047
Gaia DR3 2248866213584304768,DA,12994.0,573.0,7.972,0.047
Gaia DR3 2248877792815618176,DA,8993.0,329.0,7.947,0.077
Gaia DR3 2248918406026648192,DA,15974.0,645.0,7.999,0.042
Gaia DR3 2248963108045639424,DA,19251.0,1434.0,7.889,0.079
Gaia DR3 2248972488255487616,DA,16751.0,1255.0,8.818,0.067
Gaia DR3 2248993825652867456,DA,21942.0,1709.0,8.255,0.085
Gaia DR3 2249007329029413248,DC,10981.0,667.0,8.092,0.103
Gaia DR3 2249098863372066688,DA,11673.0,365.0,8.469,0.035
Gaia DR3 2249276297060671232,DA,10311.0,552.0,8.028,0.105
Gaia DR3 2249345600653660160,DA,16372.0,860.0,8.409,0.049
Gaia DR3 2249377486491175552,DA:,21352.0,1767.0,7.235,0.119
Gaia DR3 2249438887343028864,DA,8102.0,401.0,8.131,0.098
Gaia DR3 2249447580357229440,DA,19552.0,1475.0,7.968,0.084
Gaia DR3 2249577082211490048,DA,9555.0,316.0,7.903,0.063
Gaia DR3 2249578082938091392,DA,10858.0,397.0,7.337,0.056
Gaia DR3 2249707309916450560,DA,15370.0,884.0,8.299,0.059
Gaia DR3 2249708203269636992,DA,6956.0,189.0,7.517,0.068
Gaia DR3 2249725207042786048,DA,21373.0,1265.0,7.973,0.061
Gaia DR3 224976880955775104,DA,7537.0,369.0,8.034,0.123
Gaia DR3 2249805505752598912,DA,27407.0,2105.0,8.643,0.086
Gaia DR3 2249860142033422464,DA,14157.0,469.0,7.5,0.038
Gaia DR3 2249976376729865344,DA,19480.0,1180.0,8.006,0.064
Gaia DR3 2250058535161610240,DA,,,,
Gaia DR3 2250247788602155904,DA,27346.0,705.0,7.929,0.031
Gaia DR3 2250362889427549696,DB,12345.0,637.0,8.023,0.074
Gaia DR3 2250407007330968192,DA,6883.0,233.0,8.327,0.063
Gaia DR3 2250430479327475456,DA,10218.0,333.0,6.972,0.11
Gaia DR3 2250515652824446720,DA,19845.0,695.0,7.947,0.035
Gaia DR3 2250644437420613504,DZ,7012.0,316.0,8.192,0.077
Gaia DR3 2250733665364017152,DA,24528.0,1971.0,8.182,0.096
Gaia DR3 2250747615418035712,DA,12159.0,586.0,8.165,0.049
Gaia DR3 2250759400808484736,DA,10545.0,497.0,8.04,0.086
Gaia DR3 2250780983020815744,DA:,7209.0,353.0,8.312,0.094
Gaia DR3 2250861449230497024,DA,18082.0,1012.0,8.099,0.056
Gaia DR3 2250940510988691840,DB,15035.0,642.0,8.282,0.05
Gaia DR3 2250963944331107328,DA,9830.0,165.0,8.011,0.029
Gaia DR3 2250998823761431680,DA:,26234.0,668.0,7.447,0.033
Gaia DR3 2251071799549662976,DA,5720.0,182.0,8.171,0.078
Gaia DR3 2251111863006925312,DA,9496.0,596.0,7.997,0.143
Gaia DR3 2251142614969673600,DA,5820.0,92.0,7.169,0.043
Gaia DR3 2251175089219365504,DA,18283.0,387.0,8.423,0.018
Gaia DR3 2251325511856957952,DA,8392.0,153.0,7.952,0.034
Gaia DR3 2251383408016354432,DA,14954.0,882.0,7.936,0.069
Gaia DR3 2251471235804317568,DB,14314.0,574.0,7.964,0.055
Gaia DR3 2251512982886700416,DB:,36741.0,1785.0,7.188,0.06
Gaia DR3 225155895193762432,DA,14534.0,1077.0,8.513,0.083
Gaia DR3 2251569672158463360,DA,11610.0,244.0,8.007,0.026
Gaia DR3 225158613910446464,DA,6806.0,250.0,8.447,0.068
Gaia DR3 2251592280865926912,DA,17804.0,654.0,8.224,0.034
Gaia DR3 2251639181909479680,DA,7238.0,395.0,8.162,0.118
Gaia DR3 2251675538809843200,DA,8215.0,230.0,8.227,0.047
Gaia DR3 2251736218107714304,DB:,39635.0,1672.0,7.537,0.053
Gaia DR3 2251773322327617152,DA,13431.0,483.0,8.218,0.031
Gaia DR3 2251787547259067136,DA,7558.0,375.0,8.015,0.11
Gaia DR3 2251825583489808000,DB,18376.0,1764.0,8.058,0.107
Gaia DR3 2251829912816976384,DA,9086.0,470.0,8.053,0.108
Gaia DR3 2251864478714290432,DA,,,,
Gaia DR3 2251969074053369600,DA,8787.0,299.0,8.023,0.065
Gaia DR3 2251971479235042688,DO:,56441.0,11507.0,7.345,0.091
Gaia DR3 2251989891760845312,DB,15284.0,631.0,8.002,0.054
Gaia DR3 2252028894357971584,DA,9504.0,305.0,7.446,0.078
Gaia DR3 2252057443004751232,DZ,5945.0,173.0,8.067,0.063
Gaia DR3 2252065826780777472,DA,11636.0,625.0,7.993,0.081
Gaia DR3 2252082731770989696,DC:,6319.0,164.0,7.102,0.068
Gaia DR3 225219121412088832,DA,6750.0,264.0,7.867,0.111
Gaia DR3 2252349260262798976,DA,8633.0,267.0,8.063,0.059
Gaia DR3 2252495117352367488,DA:,6799.0,246.0,8.39,0.068
Gaia DR3 225252755294920960,DA,8581.0,356.0,7.937,0.104
Gaia DR3 2252599192999723264,DA,7014.0,350.0,8.271,0.104
Gaia DR3 2252619950579738880,DA,12256.0,809.0,7.967,0.09
Gaia DR3 2252680114480127744,DA,9208.0,497.0,7.842,0.127
Gaia DR3 2252867027159540480,DA,20432.0,970.0,8.23,0.044
Gaia DR3 2252896988851735040,DB,12814.0,862.0,7.96,0.12
Gaia DR3 2252966086285040000,DA,25662.0,1710.0,8.037,0.083
Gaia DR3 2253023260890436736,DA,7130.0,316.0,7.587,0.119
Gaia DR3 2253143249393005440,DO:,47495.0,6197.0,7.256,0.149
Gaia DR3 2253234852454880896,DA,10280.0,587.0,7.963,0.119
Gaia DR3 2253408983312966656,DA,6011.0,125.0,6.641,0.137
Gaia DR3 2253469701266386944,DA,10787.0,461.0,8.106,0.071
Gaia DR3 2253590677610308992,DA:,26688.0,851.0,6.757,0.078
Gaia DR3 2253647989653009792,DA,7489.0,276.0,8.028,0.079
Gaia DR3 2253672320645040512,DA,7773.0,350.0,8.356,0.079
Gaia DR3 2253686683015627776,DA,5752.0,85.0,7.369,0.039
Gaia DR3 2253813637951768576,DC,10244.0,122.0,7.816,0.0335
Gaia DR3 2253835254524322816,DB,18848.0,1850.0,7.957,0.116
Gaia DR3 2253901564521602816,DA:,6935.0,268.0,8.143,0.077
Gaia DR3 2253904588178589568,DC,9585.0,346.0,8.138,0.061
Gaia DR3 2253933385934198528,DA:,5977.0,149.0,7.55,0.068
Gaia DR3 2253947606572242688,DA,6562.0,222.0,8.311,0.065
Gaia DR3 2253956127786736256,DA,12740.0,205.0,7.464,0.02
Gaia DR3 2253960525833306368,DC,9599.0,329.0,8.019,0.06
Gaia DR3 2253974892501582976,DA,10285.0,574.0,8.687,0.091
Gaia DR3 2253980591920071680,DA,5515.0,152.0,8.114,0.069
Gaia DR3 2253988636396656512,DA,21114.0,1474.0,8.054,0.071
Gaia DR3 2254069965898210048,DB,12761.0,857.0,8.141,0.108
