wdid,spectype,teff,Dteff,logg,Dlogg
2MASS J10174168-0029337,DA,14830.0,130.0,8.02,0.02
2MASS J10180002+0838206,DQ,7539.0,38.0,7.917,0.008
2MASS J10221035+4612491,DA,7076.0,76.0,8.17,0.028
2MASS J10243847+1624582,DA+M3,6300.0,3.0,5.0,0.003
2MASS J10444792+1943108,DA,7570.0,65.0,7.083,0.037
2MASS J10470920+3453463,DA,8254.0,57.0,7.305,0.012
2MASS J10480182+6334487,DA,5151.0,14.0,7.951,0.007
2MASS J10495981-0047193,DA+dM,9456.0,,7.275,
2MASS J11004434+4823036,DA,7420.0,50.0,7.75,0.1
2MASS J11061649+4518556,DA,7484.0,36.0,8.413,0.007
2MASS J11074705+1542196,DA+M,6300.0,3.0,10.0,0.003
2MASS J11094130+5512289,DA,7050.0,27.0,8.584,0.006
2MASS J11142536+3808216,DA,10602.0,65.0,8.003,0.009
2MASS J11151166+1724072,DA,9612.0,,7.446,
2MASS J11153694+0033171,DA,4988.0,6.0,7.513,0.006
2MASS J11182722-4721570,DC,5910.0,31.0,8.077,0.016
2MASS J11214601+1553256,DA,7392.0,49.0,7.929,0.019
2MASS J11273153+0623050,DA,8474.0,59.0,7.981,0.012
2MASS J11300614-0647163,DA+M5,9823.0,42.0,7.54,0.069
2MASS J11310905+0643061,DA,7550.0,33.0,7.895,0.011
2MASS J11351112+0009241,DA+M4,6300.0,4.0,8.09,2.423
2MASS J11375649+5740225,DAH,7586.0,38.0,8.161,0.009
2MASS J11505233+6831161,DA,6709.0,14.0,8.27,0.003
2MASS J12063596+0823090,DA,8161.0,52.0,8.027,0.011
2MASS J12173025+3226334,DA,7269.0,60.0,7.925,0.018
2MASS J12212103+3306350,DA,7718.0,90.0,7.949,0.022
2MASS J12332966+6008546,DA,8354.0,68.0,7.669,0.03
2MASS J12334759+1253454,DQ,6698.0,15.0,7.97,0.008
2MASS J12341097+5808155,DA,13124.0,93.0,8.056,0.007
2MASS J12351567+5503178,DA,8278.0,49.0,7.356,0.014
2MASS J12374322+6023203,DA,5091.0,20.0,7.878,0.013
2MASS J12512317+3800291,DA,10375.0,,7.874,
2MASS J12543465+3709595,DAH,20314.504744497,411.7647704364965,8.20853693680496,0.0480791507856567
2MASS J13002125+0130453,DA,5387.0,23.0,7.994,0.01
2MASS J13013998+1608322,DA,19414.0,,7.775,
2MASS J13131314+0226457,DC,4278.0,30.0,7.885,0.017
2MASS J13132830-0353198,DA,17396.0,,7.793,
2MASS J13235532+3018284,DA+M,7016.0,,7.51,
2MASS J13372528+3952388,DA,8270.0,,6.873,
2MASS J13383006+1020346,DA+M3,6300.0,3.0,5.01,0.022
2MASS J13411316+0100266,DC:,3901.0,,8.817,
2MASS J13453297+4200437,DC,4648.0,18.0,7.313,0.009
2MASS J13511833+1819003,DA,11751.0,,7.546,
2MASS J13520197-0054195,DA,7111.0,34.0,8.0,0.013
2MASS J13520777+1850337,DA+M3,6300.0,3.0,5.0,0.003
2MASS J14151332+6304126,DA,14560.0,150.0,8.12,0.02
2MASS J14155889+4337160,DA,6864.0,36.0,8.074,0.01
2MASS J14200627+5322351,DA,7501.0,47.0,7.729,0.011
2MASS J14255728+4425539,DA+M2,6300.0,3.0,5.0,0.003
2MASS J14414721+5816565,DA,6597.0,36.0,8.03,0.011
2MASS J14460038+0008166,DA+M5,7392.0,64.0,5.09,0.099
2MASS J14485925-0232293,DA,9199.0,38.0,8.006,0.009
2MASS J14523000+4625123,DA,10425.0,,7.784,
2MASS J14552136+5655442,DA,15149.0,138.0,7.991,0.006
2MASS J15110990+4048014,DA,8327.0,20.0,7.358,0.005
2MASS J15251217-0421286,DA,9977.0,63.0,7.963,0.012
2MASS J15390421+5811158,DA,7095.0,47.0,8.035,0.013
2MASS J15395084+0154001,DA,8761.0,64.0,8.025,0.015
2MASS J15434045+1947549,DA,8169.0,76.0,7.499,0.022
2MASS J15495631+2009143,DA,8765.0,66.0,7.924,0.015
2MASS J15593735+2529090,DA,8436.0,51.0,8.032,0.01
2MASS J16255824+3510358,DA+K,6300.0,3.0,10.0,0.003
2MASS J16263203+1355547,DA,6808.0,41.0,7.969,0.011
2MASS J16265989+4918028,DA,9372.0,52.0,8.01,0.009
2MASS J16392030+4030413,DA,8308.0,58.0,8.134,0.01
2MASS J16403197+2229289,DAZ,7487.0,54.0,8.056,0.013
2MASS J16421658+2256264,DA,10779.0,,7.939,
2MASS J16530628+1905033,DA,12434.0,,7.381,
2MASS J16545927+1310251,DA+M2,6300.0,3.0,5.0,0.005
2MASS J16593715+2723388,DA+M3,6300.0,4.0,5.0,0.008
2MASS J17051325+0423452,DA,8261.0,33.0,7.963,0.007
2MASS J17092683+2908222,DA,21410.0,290.0,7.73,0.04
2MASS J17223000+2645275,DA,14861.0,115.0,7.99,0.006
2MASS J17244529+0733248,DA+M4,7110.0,40.0,5.0,0.005
2MASS J17281847+0211101,DA,8165.0,41.0,8.101,0.008
2MASS J17310453+0703450,DA+M4,,,,
2MASS J17384969+6350421,DA+M3,6300.0,2.0,5.03,0.038
2MASS J17432300+1434519,DC,10224.0,126.0,7.947,0.028
2MASS J17470830+2859098,DC,4832.0,53.0,7.745,0.042
2MASS J18134856+2119206,DA,18200.0,279.0,7.95,0.05
2MASS J18195921+1739190,DC,4835.0,59.0,7.974,0.049
2MASS J18215954-5951484,DA,4748.0,31.0,7.268,0.027
2MASS J18571395+2026292,DA,6649.0,22.0,8.291,0.006
2MASS J19131653+2949275,DA,6197.0,47.0,8.138,0.023
2MASS J19200281-3611025,DB,21963.0,746.0,8.138,0.025
2MASS J19400895+8348579,DC,4805.0,87.0,8.31,0.06
2MASS J19492350+0747318,DA,9245.0,81.0,8.078,0.022
2MASS J19554408+4117491,DA?,,,,
2MASS J20061696+5902273,DA,13850.0,78.0,7.758,0.005
2MASS J20124874-4659024,DA,5809.0,50.0,7.993,0.029
2MASS J20265915+4116436,DA,18028.0,456.0,6.998,0.028
2MASS J20453123+1526433,DA,13026.0,166.0,8.15,0.009
2MASS J20464725+0218054,DB+M3,15413.0,57.0,8.28,0.046
2MASS J20590586-0033476,DA,7542.0,30.0,8.006,0.01
2MASS J21120843+0912019,DZA+M,6313.0,19.0,6.68,0.228
2MASS J21220558-3838347,DC,5060.0,21.0,7.809,0.017
2MASS J21293521+0013321,DA,8845.0,42.0,7.16,0.008
2MASS J21382728+1856419,DA,12600.0,258.0,7.74,0.08
2MASS J21400102-0750522,DA,31783.0,96.0,7.78,0.02
2MASS J21420390+2252290,DZ,8839.0,38.0,7.87,0.007
2MASS J21550637+4103067,DZ,6525.0,53.0,8.313,0.014
2MASS J22103453+4532401,DC,5290.0,55.0,7.854,0.028
2MASS J22110255-0024337,DA+M,,,,
2MASS J22280206+1207334,DZ,6918.0,28.0,8.104,0.006
2MASS J22282274+3912401,DA+M3,6300.0,3.0,5.01,0.017
2MASS J22303724+1256212,DA,7503.0,36.0,8.455,0.008
2MASS J22304953-0945090,DA,7279.0,32.0,7.919,0.013
2MASS J22385855+1313039,DAZ,8036.0,43.0,8.01,0.01
2MASS J22415762+1332390,DA,5990.0,18.0,8.257,0.007
2MASS J22452948-1002442,DA,8740.0,52.0,8.354,0.01
2MASS J22593378+5717572,DA,5247.0,56.0,7.936,0.025
2MASS J23024490+4312478,DA,8033.0,28.0,7.963,0.007
2MASS J23053906+4334038,DC,4797.0,17.0,7.781,0.012
2MASS J23095848+5506491,DA,5531.0,26.0,8.107,0.016
2MASS J23390042+5316000,DA,6359.0,30.0,8.026,0.01
2MASS J23434918+3834295,DA,10409.0,,7.488,
2QZ J000318.3-284359,DA,18090.0,1429.0,8.211,0.082
2QZ J000515.3-305737,DA,11174.0,602.0,7.806,0.108
2QZ J000947.2-284047,DA,12751.0,1101.0,8.577,0.086
2QZ J001239.1-304350,DA,9948.0,312.0,7.843,0.064
2QZ J001255.4-312429,DA,17146.0,1543.0,8.024,0.123
2QZ J001416.2-310258,DB,17426.0,1870.0,7.973,0.133
2QZ J001533.2-282710,DA,16557.0,577.0,7.98,0.035
2QZ J001546.6-313546,DA,9225.0,286.0,8.048,0.058
2QZ J001609.3-310217,DB,16224.0,1992.0,8.091,0.175
2QZ J002300.9-302151,DA,11346.0,337.0,7.527,0.058
2QZ J002306.2-272631,DA:,19540.0,2206.0,7.913,0.146
2QZ J002345.7-314449,DA,12047.0,1054.0,8.01,0.111
2QZ J002751.5-293506,DC,9782.0,570.0,8.092,0.106
2QZ J002936.6-290633,DA,20711.0,1697.0,7.976,0.097
2QZ J002954.1-300945,DA,20151.0,1532.0,7.862,0.1
2QZ J003125.9-310841,DA,11439.0,496.0,7.971,0.075
2QZ J003203.5-305626,DB,11896.0,409.0,8.118,0.054
2QZ J003233.0-310000,DA,11845.0,302.0,7.986,0.031
2QZ J003558.8-304744,DA,20253.0,1154.0,7.95,0.066
2QZ J003849.2-304739,DA,9716.0,173.0,7.45,0.04
2QZ J004344.8-272337,DA,12973.0,955.0,8.006,0.124
2QZ J004549.8-304554,DA,8430.0,247.0,8.056,0.056
2QZ J004615.0-282028,DB,18076.0,2281.0,8.016,0.171
2QZ J004629.2-300106,DA,17080.0,1373.0,8.019,0.107
2QZ J004632.6-311934,DA,22281.0,682.0,7.999,0.031
2QZ J004638.4-282521,DA,8564.0,529.0,8.065,0.142
2QZ J004705.0-283117,DA,12165.0,809.0,8.004,0.086
2QZ J005822.2-314821,DA,10531.0,358.0,8.101,0.057
2QZ J010212.4-311725,DA,14666.0,505.0,7.842,0.07
2QZ J010649.8-313612,DA,23629.0,1128.0,7.814,0.078
2QZ J010737.1-281420,DA,12374.0,620.0,7.825,0.105
2QZ J010846.0-293944,DZ,8383.0,221.0,8.129,0.051
2QZ J011109.3-293215,DA,15077.0,677.0,7.788,0.076
2QZ J011149.7-301629,DA,16356.0,371.0,7.896,0.025
2QZ J011246.7-311055,DA,15290.0,720.0,7.944,0.06
2QZ J011356.3-312134,DA,24562.0,1569.0,7.877,0.094
2QZ J011543.3-301725,DA,10710.0,519.0,8.186,0.097
2QZ J011555.1-301431,DA,10251.0,363.0,8.018,0.081
2QZ J011606.2-274913,DA,14678.0,816.0,7.368,0.103
2QZ J011731.8-282428,DA,22476.0,717.0,7.932,0.038
2QZ J012455.4-285556,DA,18269.0,1147.0,8.123,0.077
2QZ J012841.1-303459,DA,9749.0,440.0,8.046,0.111
2QZ J012903.1-283816,DA,11912.0,429.0,8.581,0.041
2QZ J013203.6-313612,DB,11850.0,437.0,8.018,0.072
2QZ J013213.8-281036,DA,21629.0,1635.0,8.152,0.108
2QZ J013432.8-303134,DA,13087.0,835.0,8.042,0.082
2QZ J013543.3-312750,DA,56067.0,8663.0,8.238,0.077
2QZ J013741.9-293945,DA,17363.0,844.0,6.912,0.074
2QZ J013856.9-282228,DA,14749.0,934.0,8.001,0.1
2QZ J013930.9-305624,DA,14975.0,536.0,7.836,0.062
2QZ J014258.4-303836,DA,16333.0,348.0,7.88,0.027
2QZ J014421.9-304800,DA,17419.0,677.0,7.869,0.056
2QZ J014830.5-303812,DA,25360.0,1474.0,7.877,0.117
2QZ J015153.6-275346,DA,17500.0,1052.0,7.104,0.108
2QZ J015409.2-304531,DA,18214.0,1150.0,8.029,0.083
2QZ J015738.7-300306,DB,13820.0,887.0,8.024,0.132
2QZ J015949.5-275132,DA,11209.0,361.0,7.284,0.081
2QZ J020011.7-295934,DB,17722.0,719.0,7.928,0.048
2QZ J020038.7-281955,DA,19161.0,1370.0,9.226,0.063
2QZ J020239.1-281558,DA,19444.0,654.0,7.437,0.05
2QZ J020523.2-280953,DB,15794.0,1064.0,8.074,0.101
2QZ J020727.6-284535,DA,22186.0,1413.0,7.994,0.097
2QZ J020752.6-312840,DA,20195.0,1385.0,7.914,0.095
2QZ J020827.8-295800,DA,12247.0,762.0,7.782,0.124
2QZ J020903.7-305011,DA,13751.0,300.0,7.84,0.028
2QZ J020920.7-303546,DA,26283.0,1007.0,7.911,0.056
2QZ J020937.0-304921,DA,20227.0,1205.0,7.913,0.091
2QZ J021034.0-310705,DA,10974.0,320.0,7.779,0.059
2QZ J021115.8-302618,DA,43369.0,4713.0,8.05,0.07
2QZ J021116.2-275333,DA,12247.0,313.0,8.003,0.032
2QZ J021212.8-274150,DA:,9629.0,536.0,8.831,0.093
2QZ J021339.2-275352,DA,20617.0,486.0,7.299,0.031
2QZ J021533.7-312425,DA,14918.0,720.0,7.94,0.063
2QZ J021714.2-290253,DA,11351.0,512.0,8.093,0.088
2QZ J021722.3-273144,DA,10644.0,478.0,8.257,0.09
2QZ J021916.7-280457,DA,37123.0,1839.0,7.512,0.049
2QZ J021941.5-302326,DA,17679.0,869.0,7.84,0.063
2QZ J022007.5-302517,DB,14683.0,920.0,7.925,0.105
2QZ J022059.2-293544,DA,19690.0,1004.0,8.019,0.058
2QZ J022100.4-295230,DA,13467.0,621.0,8.144,0.055
2QZ J022151.0-321137,DC,10434.0,561.0,7.857,0.116
2QZ J022158.4-311737,DA,25189.0,897.0,8.098,0.046
2QZ J022353.3-290309,DA,12089.0,716.0,7.853,0.11
2QZ J022529.2-273558,DA,17658.0,905.0,8.081,0.067
2QZ J022603.1-282036,DA,14146.0,266.0,8.464,0.016
2QZ J022820.7-300119,DA,15360.0,604.0,8.021,0.046
2QZ J022909.5-311332,DA,17923.0,1303.0,8.013,0.103
2QZ J022952.2-295040,DA,24890.0,1626.0,8.245,0.101
2QZ J023052.5-293712,DA,16582.0,1331.0,8.059,0.125
2QZ J023152.5-303001,DA,31518.0,1657.0,7.946,0.071
2QZ J023153.2-271937,DA,11645.0,639.0,7.949,0.095
2QZ J023235.9-315735,DA,8931.0,340.0,7.611,0.106
2QZ J023330.6-311718,DA,14925.0,731.0,8.06,0.064
2QZ J023342.0-321204,DA,7694.0,340.0,8.571,0.077
2QZ J023513.6-301221,DA,10481.0,560.0,8.469,0.103
2QZ J023543.0-292909,DA,9545.0,143.0,7.629,0.044
2QZ J023808.5-290925,DA,13548.0,401.0,7.803,0.047
2QZ J023815.3-291250,DA,33886.0,3152.0,7.871,0.129
2QZ J023826.4-282840,DA,8439.0,150.0,7.991,0.037
2QZ J023920.4-275147,DA,10271.0,345.0,7.928,0.066
2QZ J024239.4-302009,DA,15674.0,1128.0,7.822,0.117
2QZ J024721.2-275601,DA,11310.0,466.0,8.374,0.055
2QZ J024723.5-280754,DA,9395.0,371.0,7.384,0.128
2QZ J024922.3-305848,DA,9941.0,478.0,8.039,0.114
2QZ J025050.5-303554,DA,16646.0,788.0,8.102,0.063
2QZ J025714.0-303704,DA,24968.0,1101.0,7.832,0.082
2QZ J025859.7-280444,DB,16408.0,1197.0,8.122,0.095
2QZ J030020.7-284702,DA,10012.0,269.0,8.114,0.052
2QZ J030022.8-295459,DA,30515.0,775.0,7.879,0.035
2QZ J030044.7-284933,DB,14494.0,708.0,7.715,0.097
2QZ J030206.7-295818,DB,11039.0,351.0,8.061,0.072
2QZ J030238.1-293030,DA:,10417.0,490.0,8.577,0.085
2QZ J030613.1-294120,DA,13968.0,489.0,7.527,0.082
2QZ J030806.4-305057,DA,15270.0,376.0,7.231,0.034
2QZ J030827.0-273922,DA,16131.0,386.0,8.03,0.025
2QZ J031112.0-295601,DO,86896.0,9829.0,8.009,0.071
2QZ J031412.3-300856,DA,13197.0,669.0,8.475,0.048
2QZ J031530.5-295713,DA,11220.0,303.0,8.336,0.04
2QZ J031559.7-293535,DA,11466.0,547.0,8.147,0.095
2QZ J031600.8-275120,DA,8644.0,394.0,7.952,0.113
2QZ J031641.7-292901,DA,22246.0,1174.0,7.929,0.083
2QZ J031720.6-311033,DB,18629.0,1729.0,8.265,0.111
2QZ J095225.0-024555,DA,12128.0,,7.731,
2QZ J095229.5-004630,DA,19009.0,227.0,8.03,0.04
2QZ J095313.7+004036,DA:,6957.0,,8.793,
2QZ J095458.8-002458,DA+M,8608.0,75.0,8.48,0.098
2QZ J095522.7-004829,DA,8547.0,,8.556,
2QZ J095637.9-001648,DA,9644.0,,7.407,
2QZ J095659.3-015544,DA,6842.0,,8.106,
2QZ J095926.9+010327,DB,17121.0,,8.24,
2QZ J095943.6+002320,DA,12158.0,1111.0,8.151,0.122
2QZ J100059.4+005902,DA,17360.0,,8.587,
2QZ J100212.5-015935,DA,8882.0,84.0,7.92,0.13
