wdid,spectype,teff,logg,Dlogg,mass,Dmass
Gaia DR2 4731155790805760256,DC:,5103.0,7.998,0.033,0.579,0.028
Gaia DR2 4732283894032319232,DC:,5471.0,8.044,0.025,0.597,0.022
Gaia DR2 4734742260296931584,DC:,6674.0,8.255,0.05,0.736,0.046
Gaia DR2 4742785222214182784,DC:,4439.0,7.848,0.036,0.488,0.029
Gaia DR2 4746481922041465728,DC,6622.0,8.162,0.016,0.675,0.015
Gaia DR2 4751010634341773696,DC,,,,,
Gaia DR2 4753383625248745216,DC,6390.0,8.11,0.026,0.641,0.024
Gaia DR2 4755647382251174016,DC:,4728.0,7.96,0.056,0.554,0.049
Gaia DR2 4771781199267697664,DC,6828.0,8.211,0.054,0.708,0.049
Gaia DR2 4771958598593101184,DC,5617.0,8.204,0.045,0.714,0.041
Gaia DR2 4775087946124961024,DC:,4147.0,8.031,0.086,0.587,0.077
Gaia DR2 4778068760802713728,DC,5602.0,7.939,0.071,0.534,0.06
Gaia DR2 4780702052496063104,DC:,6564.0,7.975,0.032,0.559,0.026
Gaia DR2 4782553840532147840,DC,4700.0,8.135,0.031,0.664,0.02
Gaia DR2 478735922607634560,DC,4966.0,8.077,,0.628,
Gaia DR2 4791407967151847296,DC,7830.0,8.067,0.029,0.617,0.025
Gaia DR2 479163220314358784,DC,9990.0,7.973,0.019,0.564,0.015
Gaia DR2 4792339077406050688,DC,6172.0,7.921,0.037,0.526,0.031
Gaia DR2 4795813572805672832,DC:,7706.0,7.945,0.026,0.543,0.022
Gaia DR2 4800380218257303296,DC:,7157.0,8.12,0.043,0.649,0.038
Gaia DR2 4801666681221830016,DC,6073.0,8.088,0.045,0.626,0.04
Gaia DR2 4813280341509519360,DC:,5929.0,7.894,0.018,0.509,0.015
Gaia DR2 481522428669968256,DC,6603.0,8.324,,0.797,
Gaia DR2 481814138550499456,DC:,4756.0,7.776,,0.451,
Gaia DR2 4823629322907825920,DC,6518.0,8.253,0.052,0.735,0.048
Gaia DR2 4823980204555432704,DC:,5839.0,7.865,0.049,0.493,0.039
Gaia DR2 4824477737863466112,DC:,5069.0,8.127,0.036,0.66,0.033
Gaia DR2 4825557870598577792,DC:,4899.0,7.974,0.037,0.563,0.032
Gaia DR2 4826333610410599296,DC,4934.0,7.935,0.033,0.54,0.028
Gaia DR2 4826777190337759232,DC:,5309.0,8.006,0.039,0.586,0.034
Gaia DR2 4831461968865502464,DC:,5139.0,7.761,0.056,0.447,0.042
Gaia DR2 4831905935341104896,DC:,5191.0,7.933,0.025,0.529,0.021
Gaia DR2 4832013614464913664,DC:,5086.0,7.916,0.032,0.531,0.026
Gaia DR2 4835743299641276544,DC,7109.0,8.05,0.037,0.605,0.032
Gaia DR2 483864521578673024,DC,5078.0,8.028,,0.598,
Gaia DR2 484231556602236288,DC:,5245.0,8.219,,0.721,
Gaia DR2 4842515462338645760,DC,7174.0,8.134,0.047,0.658,0.042
Gaia DR2 4842895932017585664,DC,5218.0,7.86,0.044,0.488,0.035
Gaia DR2 4844687036459504768,DC,7214.0,7.837,0.022,0.482,0.017
Gaia DR2 4850844228558819584,DC,4993.0,7.957,0.047,0.553,0.028
Gaia DR2 4859888158373973632,DC:,4872.0,7.88,0.063,0.508,0.052
Gaia DR2 4867047628338450560,DC:,5031.0,8.028,0.058,0.597,0.051
Gaia DR2 487026235983960576,DC:,4889.0,7.881,,0.509,
Gaia DR2 4876066406825047296,DC,4873.0,7.899,0.029,0.519,0.024
Gaia DR2 4877613797642237696,DC,7696.0,8.416,0.05,0.845,0.045
Gaia DR2 4882607160980962176,DC:,4958.0,7.955,0.035,0.552,0.03
Gaia DR2 4882949246535608064,DC:,4863.0,7.952,0.027,0.55,0.023
Gaia DR2 4884241035259350912,DC:,6603.0,8.169,0.036,0.68,0.032
Gaia DR2 4884863328777354752,DC:,,,,,
Gaia DR2 48883840294734208,DC:,5494.0,7.966,0.09,0.549,0.079
Gaia DR2 4888554419375407232,DC:,5146.0,7.928,,0.538,
Gaia DR2 4891261146421822464,DC,7202.0,8.199,,0.717,
Gaia DR2 4894354618089820416,DC:,4948.0,8.086,0.04,0.633,0.036
Gaia DR2 4898174321484180224,DC,9178.0,8.579,,0.968,
Gaia DR2 4900310024037001216,DC,6873.0,8.122,0.045,0.649,0.042
Gaia DR2 4905586644763227776,DC,9115.0,8.135,0.015,0.662,0.013
Gaia DR2 4909119551717563520,DC:,8061.0,8.059,0.011,0.612,0.009
Gaia DR2 4911122514010264192,DC:,6743.0,8.076,0.048,0.62,0.043
Gaia DR2 4912230203256418048,DC:,,,,,
Gaia DR2 4917641071774794880,DC:,5041.0,8.491,0.059,0.904,0.051
Gaia DR2 492177379239202304,DC:,5710.0,8.09,,0.642,
Gaia DR2 4922724354548990848,DC,7434.0,8.148,0.038,0.667,0.035
Gaia DR2 4924036587316807168,DC,6641.0,7.902,0.032,0.516,0.026
Gaia DR2 4925740628477887232,DC,5573.0,8.075,0.034,0.617,0.022
Gaia DR2 4926464691244602752,DC,4177.0,7.702,0.044,0.426,0.019
Gaia DR2 4927880583046712192,DC,8259.0,7.996,0.025,0.575,0.021
Gaia DR2 4928661373741088768,DC,6668.0,8.098,0.041,0.634,0.037
Gaia DR2 4929054895824207488,DC:,5042.0,7.77,0.052,0.45,0.039
Gaia DR2 4932064160367400064,DC,7305.0,8.046,0.032,0.603,0.028
Gaia DR2 493391411875727616,DC,10069.0,8.269,,0.769,
Gaia DR2 493896500028937728,DC,5219.0,7.864,,0.503,
Gaia DR2 4939273829908679808,DC,5998.0,8.023,0.029,0.586,0.025
Gaia DR2 4941246727430176384,DC:,4969.0,7.986,0.032,0.571,0.028
Gaia DR2 4942181827710040704,DC,6564.0,8.32,0.064,0.78,0.059
Gaia DR2 4943347756711486336,DC:,5027.0,8.038,0.028,0.603,0.025
Gaia DR2 4952856371924511360,DC,7085.0,8.07,0.014,0.617,0.013
Gaia DR2 4957237680946596608,DC:,4844.0,7.843,0.069,0.488,0.055
Gaia DR2 4960541958202907904,DC:,10622.0,8.102,0.018,0.644,0.016
Gaia DR2 4964236282912470400,DC,8171.0,7.918,0.013,0.529,0.007
Gaia DR2 4970077885112158848,DC:,5056.0,7.964,0.059,0.558,0.052
Gaia DR2 497882852449539584,DC,9259.0,8.112,0.028,0.647,0.025
Gaia DR2 4979847900622109568,DC,5695.0,8.032,0.031,0.59,0.027
Gaia DR2 4982533462067025024,DC,4751.0,7.919,0.022,0.53,0.018
Gaia DR2 4984162732142514432,DC:,6938.0,7.966,0.01,0.554,0.008
Gaia DR2 4986897556862171392,DC,6291.0,8.341,0.04,0.793,0.037
Gaia DR2 498732396983384320,DC:,4790.0,7.82,,0.474,
Gaia DR2 4991430435282528768,DC,9612.0,7.946,0.025,0.548,0.02
Gaia DR2 4994315412058791680,DC,6550.0,8.211,0.037,0.707,0.034
Gaia DR2 4998532215245335552,DC,6986.0,7.98,0.013,0.563,0.01
Gaia DR2 4998957137834032768,DC,6970.0,8.067,0.035,0.615,0.032
Gaia DR2 5003923460058007680,DC:,5231.0,8.267,0.046,0.753,0.043
Gaia DR2 5004633336548329728,DC:,10208.0,7.924,0.024,0.537,0.019
Gaia DR2 5006862630732813568,DC:,4376.0,7.458,0.084,0.304,0.049
Gaia DR2 5008525053659451392,DC:,5064.0,8.021,0.054,0.593,0.048
Gaia DR2 5009264818827067520,DC:,5003.0,7.815,0.033,0.473,0.026
Gaia DR2 5011392309403002496,DC,5386.0,8.04,0.018,0.608,0.015
Gaia DR2 5012392212149572224,DC,7067.0,8.285,0.024,0.757,0.022
Gaia DR2 5013488425240882048,DC,5533.0,7.972,0.037,0.553,0.032
Gaia DR2 5013842910367019008,DC,7252.0,8.264,0.04,0.743,0.037
Gaia DR2 5016512563255449600,DC,6271.0,8.117,0.023,0.645,0.021
Gaia DR2 5017427112115314944,DC:,4591.0,7.913,0.06,0.526,0.051
Gaia DR2 5020128543464883840,DC,6991.0,7.989,0.028,0.567,0.025
Gaia DR2 5020665654895464064,DC,9863.0,8.547,,0.949,
Gaia DR2 5021653531733311104,DC:,4813.0,7.927,0.036,0.535,0.031
Gaia DR2 5022760843021082752,DC,4946.0,7.87,,0.503,
Gaia DR2 502609064526679552,DC:,4938.0,7.917,,0.53,
Gaia DR2 503414937830647552,DC,7297.0,8.244,,0.746,
Gaia DR2 5035875031739240832,DC,10527.0,8.166,,0.704,
Gaia DR2 503902850412105984,DC:,4646.0,7.792,,0.459,
Gaia DR2 504240778439455872,DC,10152.0,8.306,,0.793,
Gaia DR2 5043223750846745984,DC:,5201.0,8.418,0.062,0.855,0.056
Gaia DR2 5044801103356101760,DC:,4953.0,7.39,0.041,0.284,0.021
Gaia DR2 5045655634345620224,DC,9348.0,8.061,0.024,0.616,0.02
Gaia DR2 5048398293084857984,DC,6425.0,8.141,0.036,0.661,0.033
Gaia DR2 5048487628404839168,DC:,,,,,
Gaia DR2 5049733585532327936,DC:,6644.0,8.183,0.041,0.689,0.037
Gaia DR2 5053417666744937344,DC:,5218.0,7.976,0.044,0.567,0.038
Gaia DR2 5053839127592396032,DC,4646.0,7.759,0.034,0.454,0.015
Gaia DR2 5054561090118179200,DC:,4678.0,7.237,0.053,0.231,0.023
Gaia DR2 5056515059719683072,DC:,4733.0,7.911,,0.525,
Gaia DR2 5058944087064090112,DC,6832.0,8.32,,0.795,
Gaia DR2 5063163948266717440,DC:,5054.0,8.038,0.035,0.604,0.031
Gaia DR2 5064259336725948672,DC,4749.0,10.627,0.062,1.187,0.003
Gaia DR2 5068272313649319168,DC:,5191.0,7.976,0.069,0.567,0.06
Gaia DR2 5068692632034069760,DC:,4747.0,7.288,,0.247,
Gaia DR2 5069637804011629696,DC,5839.0,8.0,,0.587,
Gaia DR2 5071727455925357824,DC,7002.0,8.176,,0.701,
Gaia DR2 5073313260929967616,DC:,4983.0,7.978,,0.566,
Gaia DR2 507831027502174848,DC:,4620.0,7.845,,0.488,
Gaia DR2 5079722249785158144,DC,7831.0,8.304,,0.787,
Gaia DR2 5082529165532368000,DC,4138.0,8.605,,0.286,0.006
Gaia DR2 5083448563411723648,DC,10084.0,8.216,,0.734,
Gaia DR2 5085091229486549248,DC:,4938.0,7.896,,0.518,
Gaia DR2 5090109228757394048,DC:,4082.0,7.07,,0.18,
Gaia DR2 5093305994390659072,DC,4508.0,,,0.74,0.042
Gaia DR2 5094367568572417152,DC:,5150.0,8.382,,0.831,
Gaia DR2 5099234178835660160,DC:,4716.0,7.826,,0.478,
Gaia DR2 5117287339424622720,DC:,4826.0,8.271,,0.755,
Gaia DR2 5117743185778994816,DC,6259.0,8.272,,0.762,
Gaia DR2 5120952179184092416,DC,8089.0,8.477,,0.902,
Gaia DR2 5131731039563630720,DC,7715.0,8.005,0.013,0.579,0.011
Gaia DR2 5134803143771473408,DC:,9458.0,8.359,,0.826,
Gaia DR2 5137610501899218176,DC,7935.0,8.377,,0.836,
Gaia DR2 513788387664651392,DC,9744.0,8.16,,0.698,
Gaia DR2 5141213292265583616,DC,6965.0,8.313,,0.791,
Gaia DR2 5143835352622910720,DC,6448.0,7.427,0.021,0.296,0.011
Gaia DR2 5145531864702143104,DC:,6996.0,7.957,0.034,0.549,0.029
Gaia DR2 5146271909042420864,DC,10263.0,8.302,,0.79,
Gaia DR2 5146493662498666752,DC,7866.0,8.438,,0.876,
Gaia DR2 5149431866805198848,DC:,4900.0,7.955,,0.552,
Gaia DR2 5153709658527537408,DC,9502.0,8.239,,0.748,
Gaia DR2 5161898683692967680,DC:,10569.0,8.299,,0.789,
Gaia DR2 5162525607183296768,DC,7503.0,8.324,,0.799,
Gaia DR2 5163672333387464704,DC,6579.0,8.178,0.064,0.685,0.059
Gaia DR2 5165497449674605440,DC:,6433.0,8.243,,0.744,
Gaia DR2 5167411493260087040,DC:,5151.0,8.002,,0.582,
Gaia DR2 516935018143037440,DC:,7604.0,8.244,,0.747,
Gaia DR2 5172481203936294784,DC,10093.0,8.255,,0.759,
Gaia DR2 5179219492227904640,DC,10768.0,8.188,,0.718,
Gaia DR2 5181816233750415488,DC,3937.0,7.758,0.125,0.45,0.056
Gaia DR2 5186287393490668544,DC:,6971.0,7.877,0.052,0.503,0.041
Gaia DR2 5186544266893083776,DC,7717.0,8.411,,0.857,
Gaia DR2 5190144205401742336,DC,6864.0,8.178,0.022,0.686,0.02
Gaia DR2 5190982548658462720,DC:,5002.0,8.035,0.042,0.601,0.038
Gaia DR2 5197014817343230720,DC,8715.0,7.949,0.027,0.548,0.022
Gaia DR2 5203781482482448512,DC:,7773.0,8.13,0.034,0.656,0.031
Gaia DR2 5204269115887501696,DC:,5235.0,8.016,0.042,0.591,0.037
Gaia DR2 5207270198516724352,DC,7238.0,8.23,0.043,0.721,0.039
Gaia DR2 5210273342729253632,DC:,6081.0,8.05,0.035,0.602,0.031
Gaia DR2 5212111215069350528,DC,6187.0,8.017,0.05,0.582,0.044
Gaia DR2 5217215835239761408,DC:,4110.0,7.844,0.067,0.477,0.054
Gaia DR2 5218534111028121984,DC,5079.0,8.024,0.034,0.595,0.03
Gaia DR2 5220421873711558144,DC,5632.0,7.816,0.05,0.465,0.039
Gaia DR2 5220766085272817920,DC,6603.0,7.931,0.021,0.533,0.017
Gaia DR2 5224999346778496128,DC,3821.0,7.742,0.05,0.443,0.023
Gaia DR2 5231644382734324352,DC:,4391.0,7.883,0.038,0.508,0.031
Gaia DR2 5232629510805109120,DC,10283.0,8.084,0.022,0.632,0.019
Gaia DR2 5233337424482573312,DC,,,,,
Gaia DR2 5233886767979709824,DC:,10039.0,8.188,0.033,0.697,0.03
Gaia DR2 5236687670794903552,DC:,5253.0,7.881,0.053,0.512,0.043
Gaia DR2 5237274221574103040,DC,6576.0,8.082,0.022,0.624,0.019
Gaia DR2 5250579141201351808,DC:,6591.0,8.185,0.022,0.69,0.02
Gaia DR2 5252935703887609856,DC,9082.0,7.923,0.022,0.534,0.017
Gaia DR2 5255811339103289344,DC,8136.0,7.981,0.019,0.565,0.017
Gaia DR2 5257952290082752128,DC,6767.0,8.041,0.044,0.599,0.038
Gaia DR2 5263434768588103424,DC,7050.0,8.01,0.039,0.58,0.034
Gaia DR2 5270880863196221568,DC,10074.0,8.108,0.033,0.646,0.029
Gaia DR2 5275092787299822080,DC,9805.0,7.927,0.014,0.538,0.011
Gaia DR2 5284437880222672512,DC:,5248.0,7.903,0.05,0.525,0.041
Gaia DR2 5285514126008180352,DC,7389.0,8.217,0.039,0.713,0.035
Gaia DR2 5285798968240176896,DC,6508.0,8.052,0.031,0.605,0.028
Gaia DR2 5287778196543115776,DC,5704.0,8.062,0.023,0.609,0.02
Gaia DR2 5292685793681027968,DC,9040.0,8.038,0.016,0.602,0.013
Gaia DR2 529594417061837824,DC,5644.0,8.251,0.041,0.732,0.028
Gaia DR2 5296747978043702144,DC:,4960.0,7.993,0.057,0.575,0.05
Gaia DR2 53022195903806976,DC,4184.0,8.928,,0.522,0.0125
Gaia DR2 5302867344367228928,DC:,6307.0,8.18,0.026,0.686,0.024
Gaia DR2 5314177402013456256,DC:,5550.0,8.169,0.019,0.691,0.012
Gaia DR2 5318074651036944768,DC,6548.0,8.108,0.044,0.64,0.04
Gaia DR2 531814979580153088,DC,9852.0,8.489,,0.912,
Gaia DR2 5319414238457357440,DC,6834.0,7.372,0.019,0.279,0.009
Gaia DR2 5322552760038496512,DC:,4953.0,7.943,0.025,0.534,0.015
Gaia DR2 5325480553346799488,DC:,10275.0,8.101,0.024,0.642,0.021
Gaia DR2 5333397208858558464,DC:,4781.0,7.916,0.045,0.529,0.037
Gaia DR2 5339172806048647552,DC,9177.0,8.03,0.026,0.596,0.023
Gaia DR2 5340127731869537152,DC,6930.0,8.138,0.03,0.66,0.027
Gaia DR2 5345083677432047616,DC:,5191.0,8.079,0.028,0.63,0.025
Gaia DR2 535556862462364416,DC,6965.0,8.175,0.026,0.684,0.023
Gaia DR2 5356140778705100672,DC,6370.0,8.076,0.035,0.62,0.03
Gaia DR2 5360691932183044736,DC:,4638.0,6.989,0.047,0.163,0.015
Gaia DR2 5361691212158598656,DC:,4977.0,8.044,0.019,0.607,0.016
Gaia DR2 5362440838570891648,DC,6534.0,8.157,0.039,0.672,0.035
Gaia DR2 5365763567004487680,DC:,4954.0,8.405,0.03,0.846,0.027
Gaia DR2 5368597214639090432,DC,8140.0,8.054,0.029,0.609,0.025
Gaia DR2 5368670125999103232,DC:,5345.0,8.354,0.057,0.812,0.053
Gaia DR2 5372201924846561024,DC:,5054.0,7.348,0.02,0.271,0.01
Gaia DR2 5376159483808420992,DC,9790.0,8.059,0.02,0.615,0.018
Gaia DR2 5376644127919488896,DC,5591.0,7.528,0.017,0.368,0.007
Gaia DR2 5376661135989700992,DC,6102.0,8.115,0.029,0.643,0.026
Gaia DR2 5381346739148118016,DC,4292.0,7.752,0.052,0.449,0.024
Gaia DR2 5384610330179661184,DC,7874.0,8.249,0.04,0.734,0.037
Gaia DR2 5386010450860040320,DC:,5093.0,7.988,0.043,0.573,0.037
Gaia DR2 5389866163260331136,DC,5016.0,7.972,0.032,0.563,0.027
Gaia DR2 5391506909489635072,DC,6114.0,8.019,0.041,0.584,0.035
Gaia DR2 5392351235636913408,DC:,4824.0,8.128,0.051,0.659,0.047
Gaia DR2 5398363193414388480,DC,5039.0,7.961,0.031,0.557,0.026
Gaia DR2 5410832475616854528,DC,6865.0,7.908,0.027,0.52,0.022
Gaia DR2 5411385839198988416,DC:,5654.0,8.184,0.035,0.701,0.032
Gaia DR2 5412681239992042240,DC:,5635.0,8.108,0.049,0.638,0.044
Gaia DR2 5416105973898136832,DC,7409.0,8.155,0.024,0.672,0.021
Gaia DR2 5416271553476941056,DC,,,,,
Gaia DR2 5425166675565529856,DC:,5994.0,8.096,0.016,0.631,0.014
Gaia DR2 5425208663166556288,DC,5857.0,8.136,0.031,0.656,0.02
Gaia DR2 542865797290276352,DC,9402.0,7.892,,0.537,
Gaia DR2 5435595199755772288,DC:,5584.0,7.36,0.024,0.283,0.011
Gaia DR2 5436237516408597888,DC:,5161.0,7.884,0.045,0.513,0.037
Gaia DR2 5439706441233034752,DC,9219.0,8.078,0.023,0.626,0.02
Gaia DR2 5445088761106025600,DC,7463.0,7.986,0.025,0.567,0.021
Gaia DR2 5445367109347137536,DC,5125.0,7.992,0.019,0.576,0.016
Gaia DR2 545633955251654016,DC,8716.0,8.243,0.032,0.731,0.029
Gaia DR2 5460790955382874112,DC:,4819.0,7.963,0.037,0.556,0.032
Gaia DR2 5460911351906171520,DC,8088.0,8.002,0.017,0.578,0.014
Gaia DR2 5462605321365453312,DC,7678.0,8.207,,0.723,
Gaia DR2 5464781765977022592,DC:,7481.0,8.234,,0.74,
Gaia DR2 5467853904543700736,DC,7221.0,8.384,,0.839,
Gaia DR2 5469352538891664512,DC,7394.0,8.409,,0.856,
Gaia DR2 5473389537569200896,DC,21788.0,8.93,,1.17,0.004
Gaia DR2 5478389704134936832,DC,6420.0,8.268,0.043,0.745,0.039
Gaia DR2 5479065525829354240,DC,9187.0,8.235,0.022,0.727,0.019
Gaia DR2 5491268966729617536,DC,6496.0,8.025,0.047,0.588,0.042
Gaia DR2 5492318313138977792,DC:,4740.0,7.945,0.047,0.545,0.04
Gaia DR2 5492781177473409536,DC:,5786.0,7.96,0.034,0.547,0.029
Gaia DR2 5496405335298768256,DC:,6542.0,7.934,0.047,0.534,0.039
Gaia DR2 5498397581649108608,DC,6540.0,7.949,0.025,0.543,0.02
Gaia DR2 54993654611672704,DC,7139.0,7.989,0.022,0.568,0.018
Gaia DR2 5507742605850894208,DC,7177.0,8.463,0.032,0.876,0.029
Gaia DR2 5511189476020897024,DC:,4972.0,7.845,0.057,0.49,0.045
Gaia DR2 5516345223493485952,DC,4236.0,7.783,0.027,0.463,0.013
Gaia DR2 5519459070481334656,DC,7333.0,8.117,0.025,0.647,0.023
Gaia DR2 5520964890317724800,DC:,10362.0,8.053,0.022,0.613,0.019
Gaia DR2 5524320187481293056,DC,5760.0,8.203,0.018,0.714,0.017
Gaia DR2 5524430477942444160,DC,8302.0,8.082,0.033,0.627,0.029
Gaia DR2 5535406833805032064,DC,6932.0,8.299,0.033,0.766,0.031
Gaia DR2 5535770772154926208,DC,7464.0,8.066,0.024,0.615,0.022
Gaia DR2 5540092608764263296,DC:,7762.0,8.083,0.038,0.627,0.033
Gaia DR2 5543904684295114112,DC,5856.0,8.068,0.034,0.613,0.03
Gaia DR2 5544827964828399232,DC,8767.0,8.015,0.025,0.587,0.021
Gaia DR2 5547647185666286720,DC:,10002.0,8.028,0.024,0.597,0.02
Gaia DR2 5549128949371318272,DC:,9895.0,7.959,0.023,0.556,0.019
Gaia DR2 5549962374889484800,DC:,,,,,
Gaia DR2 5552611716876849408,DC,6705.0,8.206,0.043,0.704,0.039
Gaia DR2 5556356035003846400,DC,6769.0,7.985,0.036,0.565,0.031
Gaia DR2 5556854182491421568,DC:,5795.0,8.078,0.027,0.619,0.024
Gaia DR2 5557784197529845504,DC,7272.0,8.577,0.054,0.951,0.044
Gaia DR2 5558083917528226176,DC,8662.0,8.074,0.035,0.623,0.031
Gaia DR2 5560637430205458304,DC,9753.0,8.607,0.045,0.972,0.036
Gaia DR2 5562291404929101312,DC:,8054.0,8.173,0.03,0.684,0.028
Gaia DR2 5563254680194601984,DC,4125.0,8.053,0.057,0.601,0.051
Gaia DR2 556746302659364608,DC:,6331.0,8.107,,0.655,
Gaia DR2 5567732956694899712,DC/DAH,19580.0,9.317,0.07,1.307,0.019
Gaia DR2 5571959311890036992,DC:,6158.0,8.089,0.017,0.627,0.015
Gaia DR2 5572306856347071744,DC:,,,,,
Gaia DR2 5575953352302276608,DC:,4563.0,7.794,0.042,0.459,0.033
Gaia DR2 5577528230909802880,DC,8301.0,8.294,0.037,0.764,0.034
Gaia DR2 55783726731081984,DC,11532.0,8.138,0.013,0.668,0.011
Gaia DR2 558153333945938560,DC,5052.0,7.965,0.016,0.559,0.014
Gaia DR2 5583641176258773376,DC:,6889.0,7.958,0.036,0.549,0.03
Gaia DR2 5586754782733383552,DC:,4359.0,7.148,0.077,0.202,0.031
Gaia DR2 5591098923113178240,DC:,5405.0,8.286,0.023,0.767,0.021
Gaia DR2 5593517706958704384,DC:,4906.0,7.913,0.024,0.528,0.019
Gaia DR2 5594091725053669760,DC,10136.0,8.175,0.025,0.689,0.022
Gaia DR2 5596390387252150656,DC,10094.0,8.006,,0.604,
Gaia DR2 5596969009545788288,DC,4718.0,7.848,,0.489,
Gaia DR2 559766180064682752,DC,9776.0,8.615,,0.992,
Gaia DR2 5597901906496636672,DC:,5060.0,8.002,,0.581,
Gaia DR2 5601233151850995584,DC,4635.0,7.901,,0.519,
Gaia DR2 5602696674844455296,DC,9582.0,7.986,0.021,0.571,0.017
Gaia DR2 5605109553114516352,DC,5627.0,8.164,0.028,0.688,0.025
Gaia DR2 5606593236677389696,DC,7083.0,8.331,,0.803,
Gaia DR2 5608828268937648896,DC,10552.0,8.229,,0.744,
Gaia DR2 5609191657528296576,DC,7344.0,8.431,,0.87,
Gaia DR2 5612555033538391424,DC:,4820.0,7.856,,0.495,
Gaia DR2 5616036461009860992,DC,7647.0,8.494,,0.912,
Gaia DR2 5617046946554148608,DC:,5475.0,8.724,,1.052,
Gaia DR2 561938815042266624,DC,7140.0,8.164,,0.694,
Gaia DR2 5629196343884314496,DC,6626.0,7.954,0.037,0.546,0.031
Gaia DR2 5633984858757297536,DC:,4893.0,7.869,0.058,0.502,0.047
Gaia DR2 5636191093260698368,DC,8310.0,8.541,0.042,0.929,0.036
Gaia DR2 5639028967132610176,DC:,7606.0,8.031,0.028,0.594,0.025
Gaia DR2 5650369914176803968,DC,6201.0,8.175,0.064,0.682,0.06
Gaia DR2 5651964996310470144,DC,4461.0,7.918,0.088,0.528,0.052
Gaia DR2 5655455224174470528,DC,4781.0,7.915,,0.528,
Gaia DR2 5656316485376168576,DC:,6145.0,8.318,,0.792,
Gaia DR2 5659041246989347328,DC:,4773.0,7.513,0.087,0.328,0.054
Gaia DR2 56621554593127808,DC,10144.0,8.202,0.016,0.706,0.015
Gaia DR2 5668952347880121472,DC,4235.0,8.671,,0.514,0.0295
Gaia DR2 5672600772274345600,DC,4861.0,7.835,0.019,0.483,0.015
Gaia DR2 5676037257212025728,DC:,6849.0,8.372,,0.83,
Gaia DR2 568168544844912128,DC,6399.0,7.982,0.012,0.562,0.01
Gaia DR2 5687280626894974464,DC:,4766.0,7.898,0.061,0.518,0.051
Gaia DR2 5688717241916173568,DC,4128.0,7.793,0.086,0.468,0.038
Gaia DR2 5691590094000841216,DC,6612.0,8.154,,0.686,
Gaia DR2 5694836981903168512,DC,9339.0,8.447,,0.884,
Gaia DR2 5695347743714326016,DC,7020.0,7.997,0.049,0.572,0.043
Gaia DR2 5704768217600464896,DC:,4999.0,7.896,,0.518,
Gaia DR2 5709868512742196608,DC,3941.0,7.732,0.096,0.439,0.039
Gaia DR2 5711144732211339136,DC:,5011.0,7.921,,0.533,
Gaia DR2 5714040261719110784,DC,4711.0,8.656,0.013,1.0,0.008
Gaia DR2 5718015859550552704,DC,4340.0,8.268,0.054,0.53,0.034
Gaia DR2 5719461442460287872,DC:,6398.0,8.205,,0.718,
Gaia DR2 5720329025850905344,DC:,4843.0,7.889,,0.513,
Gaia DR2 5722026083392378752,DC,7913.0,8.29,,0.778,
Gaia DR2 5725637639788446208,DC:,9374.0,8.174,0.029,0.687,0.027
Gaia DR2 5726403582780744064,DC:,7298.0,8.285,,0.773,
Gaia DR2 5726753059974698496,DC,9258.0,8.302,,0.788,
Gaia DR2 5731858088166044800,DC,5662.0,7.951,0.064,0.542,0.053
Gaia DR2 5732635447181435392,DC:,10036.0,8.28,,0.775,
Gaia DR2 5743109253212853888,DC:,5115.0,7.974,,0.565,
Gaia DR2 5745302022996058496,DC:,4851.0,8.115,0.069,0.651,0.063
Gaia DR2 5750427843125894144,DC:,5444.0,8.082,,0.634,
Gaia DR2 5755957119598921728,DC,4579.0,7.803,0.045,0.464,0.018
Gaia DR2 5756317106576903424,DC,5595.0,7.875,0.052,0.497,0.043
Gaia DR2 5763109404082525696,DC,4506.0,,,1.127,0.0325
Gaia DR2 5764001760847057280,DC,6086.0,8.145,0.023,0.663,0.021
Gaia DR2 5764602334714811904,DC,6342.0,8.216,0.035,0.71,0.032
Gaia DR2 5767614206300408576,DC,5024.0,8.039,0.051,0.593,0.032
Gaia DR2 577035178410047616,DC,6580.0,8.163,0.032,0.676,0.028
Gaia DR2 5770386732243675136,DC:,4850.0,7.979,0.036,0.566,0.031
Gaia DR2 5772272115513014656,DC,7913.0,8.267,0.037,0.746,0.034
Gaia DR2 5772594238061572608,DC,5992.0,8.05,0.038,0.602,0.034
Gaia DR2 5773300231899801472,DC:,5201.0,8.031,0.04,0.6,0.035
Gaia DR2 5775307733975564160,DC,4689.0,7.851,0.029,0.491,0.016
Gaia DR2 5782934943058117760,DC:,5201.0,7.859,0.026,0.5,0.02
Gaia DR2 578452453193409920,DC,5250.0,7.847,0.023,0.481,0.018
Gaia DR2 5784706428090844160,DC,4671.0,7.978,0.066,0.565,0.04
Gaia DR2 5788985001494040704,DC:,8185.0,8.109,0.037,0.644,0.033
Gaia DR2 5794511937216330240,DC,8042.0,8.029,0.028,0.594,0.024
Gaia DR2 5796878365415786240,DC,7147.0,7.976,0.03,0.56,0.026
Gaia DR2 5798427817808239104,DC:,4701.0,7.931,0.06,0.537,0.051
Gaia DR2 5799644049485006848,DC,4466.0,7.243,0.024,0.256,0.007
Gaia DR2 5806672265237931776,DC,4093.0,6.747,0.042,0.13,0.008
Gaia DR2 5811383633899595392,DC:,8157.0,8.126,0.025,0.654,0.023
