age,Dage
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.4677,
,
0.81,
,
,
,
,
,
,
,
,
0.543,
,
0.0074,0.0005
,
,
0.003,0.0007
,
,
,
,
,
0.2219,
1.01,
0.0224,
0.002,0.0004
,
,
,
,
,
0.0076,0.0002
0.0062,0.0003
,
,
,
,
,
,
0.5248,
,
0.4677,
,
0.8511,
,
,
,
,
,
,
,
0.9333,
,
,
1.182,
,
,
,
0.0245,
,
1.5,
0.003,0.0003
,
0.77,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.22,
1.5,
,
,
,
0.4584,
,
,
,
,
,
,
,
0.0083,0.0006
0.0011,0.0006
0.174,
,
,
,
,
,
,
,
,
,
,
,
0.0398,
0.0186,
0.98,
,
0.0324,
,
,
0.0048,0.0006
,
,
,
0.0661,
,
,
,
,
,
0.2088,
,
0.0002,0.0001
0.0398,
,
0.0295,
,
,
,
,
1.22,
,
0.1698,
,
,
,
0.0309,
,
0.57,
3.32,
,
,
6.96,
2.11,0.32
,
0.0003,0.0003
,
,
,
3.47,
2.49,
,
0.05,0.18
9.68,
0.87,
,
,
0.1801,
,
,
,
,
,
,
,
,
,
,
,
,
0.3659,
0.0155,
,
,
,
,
,
0.0646,
1.27,
,
,
1.124,
0.0054,0.0015
0.0085,0.0004
,
0.9772,
,
,
,
,
0.3715,
0.5623,
4.01,0.61
,
,
0.29,
,
0.138,
,
0.6918,
0.0072,0.0002
0.76,
,
,
,
3.62,
,
,
,
,
,
,
,
,
,
,
3.518,0.267
,
,
,
,
,
,
,
,
,
,
,
1.93,
,
,
,
,
3.31,
1.27,
,
,
1.15,
,
,
0.1738,
4.31,
,
,
1.59,
,
,
,
,
0.1791,
,
,
3.5,
,
1.05,
,
,
4.28,
,
,
3.73,
,
,
,
,
,
0.0195,
,
,
0.263,
,
,
,
,
,
,
,
,
,
,
,
2.09,
,
,
,
,
,
,
,
0.4898,
,
,
0.3147,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
